surface	lemma	feats	source
absolutisms	absolutism	PL	lexicon
absolutists	absolutist	PL	lexicon
absolving	absolve	ING	lexicon
absolved	absolve	PAST	lexicon
absolved	absolve	PPART	lexicon
absolves	absolve	TSG	lexicon
absolvers	absolver	PL	lexicon
absorbing	absorb	ING	lexicon
absorbed	absorb	PAST	lexicon
absorbed	absorb	PPART	lexicon
absorbs	absorb	TSG	lexicon
absorbencies	absorbency	PL	lexicon
absorbents	absorbent	PL	lexicon
absorbers	absorber	PL	lexicon
absorptances	absorptance	PL	lexicon
absorptions	absorption	PL	lexicon
absorptivities	absorptivity	PL	lexicon
absquatulating	absquatulate	ING	lexicon
absquatulated	absquatulate	PAST	lexicon
absquatulated	absquatulate	PPART	lexicon
absquatulates	absquatulate	TSG	lexicon
abstaining	abstain	ING	lexicon
abstained	abstain	PAST	lexicon
abstained	abstain	PPART	lexicon
abstains	abstain	TSG	lexicon
abstainers	abstainer	PL	lexicon
abstemiousnesses	abstemiousness	PL	lexicon
abstentions	abstention	PL	lexicon
abstinences	abstinence	PL	lexicon
abstinently	abstinent	LY	promoted
abstracter	abstract	ER	lexicon
abstractest	abstract	EST	lexicon
abstracting	abstract	ING	lexicon
abstracted	abstract	PAST	lexicon
abstracts	abstract	PL	lexicon
abstracted	abstract	PPART	lexicon
abstracts	abstract	TSG	lexicon
abstractednesses	abstractedness	PL	lexicon
abstracters	abstracter	PL	lexicon
abstractions	abstraction	PL	lexicon
abstractionisms	abstractionism	PL	lexicon
abstractionists	abstractionist	PL	lexicon
abstractnesses	abstractness	PL	lexicon
abstractors	abstractor	PL	lexicon
abstruser	abstruse	ER	lexicon
abstrusest	abstruse	EST	lexicon
abstrusely	abstruse	LY	promoted
abstrusenesses	abstruseness	PL	lexicon
abstrusities	abstrusity	PL	lexicon
absurder	absurd	ER	promoted
absurdly	absurd	LY	derivation
absurdest	absurde	EST	promoted
absurdities	absurdity	PL	lexicon
absurdnesses	absurdness	PL	lexicon
abuelas	abuela	PL	promoted
abulias	abulia	PL	lexicon
abundances	abundance	PL	lexicon
abusing	abuse	ING	promoted
abused	abuse	PAST	promoted
abuses	abuse	PL	agid
abusers	abuser	PL	lexicon
abusivenesses	abusiveness	PL	lexicon
abutting	abut	ING	lexicon
abutted	abut	PAST	lexicon
abutted	abut	PPART	lexicon
abuts	abut	TSG	lexicon
abutments	abutment	PL	lexicon
abutters	abutter	PL	lexicon
abvolts	abvolt	PL	lexicon
abwatts	abwatt	PL	lexicon
